 ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action,ray1
6.719674,6.290705,4.755917,4.444088,-43.8441,0.2791601,1.108042,13.70277,,ACCELERATE,
6.719261,6.291115,4.755597,4.444408,-43.84443,0.2791605,-0.3500589,13.80066,,ACCELERATE,
6.718376,6.292006,4.754925,4.445079,-43.84512,0.2791598,-1.832191,13.90016,,ACCELERATE,
6.717166,6.293229,4.754013,4.445992,-43.84603,0.2791601,-3.349235,14.00201,,ACCELERATE,
6.715763,6.294635,4.752956,4.447048,-43.8471,0.27916,-4.863536,14.10367,,ACCELERATE,
6.714243,6.296162,4.751816,4.448188,-43.84824,0.27916,-6.35208,14.2036,,ACCELERATE,
6.712663,6.297751,4.750626,4.449378,-43.84943,0.2791597,-7.842658,14.30367,,ACCELERATE,
6.711075,6.299351,4.749424,4.45058,-43.85062,0.2791601,-9.30955,14.40215,,ACCELERATE,
6.709432,6.301,4.748188,4.451816,-43.85186,0.27916,-10.82288,14.50374,,ACCELERATE,
6.707795,6.302647,4.746956,4.453048,-43.8531,0.2791599,-12.33311,14.60513,,ACCELERATE,
6.706217,6.304235,4.745766,4.454238,-43.85429,0.27916,-13.77738,14.70209,,ACCELERATE,
6.704595,6.305868,4.744537,4.455467,-43.85551,0.2791597,-15.29637,14.80407,,ACCELERATE,
6.703066,6.307407,4.743381,4.456622,-43.85667,0.27916,-16.74995,14.90166,,ACCELERATE,
6.701512,6.30897,4.742203,4.457801,-43.85784,0.2791598,-18.25451,15.00267,,ACCELERATE,
6.821778,6.170205,4.76088,4.441463,-43.8372,0.2791603,-19.74764,15.10294,,LEFT_ACCELERATE,
7.35314,5.650013,4.915345,4.33217,-43.70013,0.2791704,-21.21141,15.20181,,LEFT_ACCELERATE,
7.817291,5.168652,5.221714,4.09445,-43.4273,0.2791696,-22.66762,15.30136,,LEFT_ACCELERATE,
7.889452,4.985707,5.485877,3.799478,-43.11773,0.2791646,-24.1302,15.40174,,LEFT_ACCELERATE,
8.174222,4.626761,5.758067,3.530922,-42.74215,0.2791658,-25.58024,15.5024,,LEFT_ACCELERATE,
